TRUE,GRU,LSTM,DTR,GBR,SVR,ANN
6.40E+01,6.58E+01,62.9608345,73,71.19652087,68.97801997,69.70713806
6.30E+01,6.37E+01,61.694767,49,57.06331994,59.43472658,66.07637024
6.30E+01,6.24E+01,59.99074936,73,73.52120869,72.07570433,59.97629166
5.90E+01,5.66E+01,54.50701141,73,71.76586011,70.37995431,61.81147385
7.00E+01,6.24E+01,61.41157913,72,68.93068055,59.82018004,63.37238693
7.10E+01,7.23E+01,69.590271,49,56.56988005,54.94376349,86.04795837
6.90E+01,6.49E+01,61.85178375,67.5,62.36371961,61.85996909,74.20819092
6.50E+01,5.88E+01,56.80340958,80,78.21683334,78.79960163,57.37874222
5.40E+01,5.01E+01,49.26169968,73,73.24155458,75.09416669,53.63256836
4.00E+01,4.73E+01,47.28650665,73,73.24155458,70.31462808,47.62823105
4.20E+01,5.75E+01,57.28244019,60,62.72400472,59.22117207,56.33382034
4.20E+01,6.18E+01,61.45628738,46,45.98049712,44.9870952,61.23205185
4.80E+01,5.90E+01,54.76610565,46,47.7733855,42.53310496,57.00772476
5.10E+01,5.17E+01,46.10151291,41,44.35935302,39.15280774,59.6684227
5.70E+01,5.07E+01,46.17477798,43,40.21739037,40.22260176,54.77037048
4.90E+01,4.42E+01,39.75352478,43,41.21224111,40.90529115,42.73498154
4.60E+01,4.05E+01,37.33010101,49,47.60402547,50.42201566,38.16497421
4.00E+01,3.77E+01,37.024086,43,40.70404969,42.88201849,34.96114349
3.90E+01,3.69E+01,36.95080948,43,39.81336112,36.34170574,37.05980682
3.30E+01,3.15E+01,30.77171326,32,34.78625241,28.48640585,33.69748688
2.60E+01,2.55E+01,24.53343964,32,34.78625241,25.98454129,31.47974396
3.40E+01,3.13E+01,30.4240036,28,30.3989572,21.13267292,40.34882736
2.20E+01,2.35E+01,24.00806427,23,21.01592941,15.08599782,32.16550446
2.20E+01,2.28E+01,22.76460266,32,30.69682374,20.97616558,28.17457581
2.10E+01,2.27E+01,21.35108185,22,17.92580026,22.14614926,33.03968811
1.60E+01,1.86E+01,16.34906769,22,17.92580026,25.16835335,32.53495026
1.70E+01,1.95E+01,16.66858673,19,16.59140236,26.79547919,32.37277985
8.00E+00,1.16E+01,8.814201355,16,12.28215425,22.86408572,30.29497528
1.70E+01,1.78E+01,13.99549103,17,13.67997681,22.1752639,42.87279892
1.50E+01,1.70E+01,13.04051971,11,9.292312619,10.13722002,37.11916733
2.00E+01,2.18E+01,17.73773956,17,16.67189026,15.59935287,25.8752594
2.20E+01,2.58E+01,19.30748749,16,12.14030666,13.90241476,28.73416901
3.00E+01,3.15E+01,24.48369598,26,28.15832925,25.36561642,63.2495842
2.80E+01,2.97E+01,23.12281036,26,30.22425829,23.13186516,67.67827606
3.50E+01,3.54E+01,29.09300995,40,40.91738034,37.35000937,49.55095291
4.00E+01,4.36E+01,36.80912018,35,38.8303643,34.77359386,38.85628128
4.60E+01,4.97E+01,41.9807663,43,45.66030624,41.39440603,46.27656555
4.50E+01,4.73E+01,40.54679108,46,49.25317798,47.64792613,48.40297318
4.70E+01,4.99E+01,44.13136292,52,57.76058338,54.53103668,52.33191299
4.70E+01,5.12E+01,45.80838013,47,57.34502584,52.91759718,48.74894714
5.70E+01,6.12E+01,54.98110199,52,57.54117793,54.40707916,50.24620819
6.50E+01,6.66E+01,59.13884735,52,57.39933034,54.07583166,62.47847366
7.20E+01,7.09E+01,65.21569824,52,64.16955751,55.60902209,68.3150177
7.50E+01,7.29E+01,68.79738617,67,69.20467521,62.09826219,76.53727722
8.20E+01,7.65E+01,77.81213379,67.5,67.32808306,67.79121563,72.6151123
5.30E+01,4.32E+01,45.27274323,80,81.71740909,83.36361332,36.27737045
2.10E+01,1.18E+01,14.88513947,89,90.53015578,88.85098112,14.11619568
2.30E+01,1.80E+01,19.20871735,56,55.03921704,47.0870587,12.93649292
2.30E+01,2.60E+01,27.20687866,19,18.20989785,19.8817013,18.09751892
2.30E+01,2.88E+01,27.59607697,22,21.90509785,20.88757469,24.65808868
2.30E+01,2.95E+01,30.34853363,30.5,33.44321226,30.35129576,23.38536835
3.00E+01,3.71E+01,38.79506302,30.5,34.84003385,31.40024895,35.08454132
2.90E+01,3.95E+01,40.69642639,30.5,34.84003385,32.55156143,38.78179932
4.00E+01,4.72E+01,47.56035995,40,39.77800228,38.63950574,43.43504715
5.20E+01,5.86E+01,57.80657196,35,39.77800228,38.27014549,55.52080154
6.40E+01,7.02E+01,69.02616882,46,48.61035685,47.09411261,67.98839569
6.50E+01,7.29E+01,72.22072601,57,57.54583365,57.08361435,74.57473755
5.80E+01,6.27E+01,63.53672409,70,70.74653617,67.65656651,67.80833435
5.40E+01,5.70E+01,58.04802704,70,72.79156988,68.96593988,63.73124695
4.20E+01,4.68E+01,47.02600479,66,63.2203395,61.96302495,54.44107819
4.30E+01,5.51E+01,54.08041,60,62.39115283,57.75814049,58.79427338
4.00E+01,5.98E+01,58.27067566,46,51.06792381,47.17013653,58.48353958
5.00E+01,6.65E+01,62.61270142,54,52.64693741,48.96173473,57.56671524
4.70E+01,5.85E+01,54.0905571,46,49.25317798,48.09787327,56.17472076
5.70E+01,6.51E+01,64.3475647,45,56.88127579,49.35047737,72.33804321
8.00E+01,8.41E+01,83.47213745,52,55.34914133,55.18963394,84.02610016
1.08E+02,1.04E+02,101.6047363,66,65.35787416,64.46623978,104.9287949
1.06E+02,9.27E+01,89.22132874,86,87.12925417,77.31729031,88.17205811
9.80E+01,8.49E+01,79.50138855,102.5,107.2018471,102.900634,89.56761169
1.12E+02,9.97E+01,96.30725861,102.5,103.5975996,106.1753194,100.6403656
1.04E+02,9.07E+01,92.96881866,103,104.6055806,104.6104613,89.93441772
8.60E+01,7.31E+01,76.84120941,114,117.7940727,116.669382,66.1682663
8.20E+01,6.36E+01,66.68432617,104,106.2735084,103.8020579,56.69315338
5.20E+01,4.54E+01,43.08817291,86,84.49118659,76.35883937,36.61637878
4.20E+01,3.36E+01,30.28249359,86,75.16288241,66.62289156,26.86624908
4.50E+01,3.52E+01,33.45872498,29,42.85600144,40.91419693,33.0322876
3.40E+01,3.36E+01,32.5986557,34.5,38.5155094,33.00690088,31.48628998
3.00E+01,3.10E+01,29.86109161,29,41.95444215,36.77734551,32.9281311
3.00E+01,3.35E+01,31.99208069,32,32.63319236,30.51324132,35.6050148
4.00E+01,3.98E+01,37.84408188,26,27.89026645,29.01063738,45.01652145
3.60E+01,3.95E+01,37.62467957,26,27.89026645,28.9867965,46.1354332
2.90E+01,3.44E+01,32.57055664,32,36.72262103,35.29852997,39.32579422
2.50E+01,2.76E+01,26.36420441,32,32.39351958,32.2406606,30.37414551
3.20E+01,3.12E+01,32.16809845,26,27.65059367,27.81660826,35.91435242
3.80E+01,3.46E+01,34.58798981,23,22.71262525,25.93682652,40.89258957
3.40E+01,3.37E+01,33.1171875,28,30.09146895,29.31854618,37.06041336
3.20E+01,3.21E+01,30.93460083,32,34.93160619,33.34110154,33.66098022
3.40E+01,3.19E+01,31.33934784,32,32.72637146,30.50813292,34.43772888
2.90E+01,2.84E+01,28.17925262,28,30.42432084,29.068647,31.32531738
2.60E+01,2.49E+01,25.18591309,40,32.72637146,30.48069416,27.49248505
2.30E+01,2.21E+01,21.99359894,26,27.98344556,26.8581122,23.92792511
2.20E+01,2.13E+01,21.85523987,23,23.04547713,24.72612346,21.82591248
1.70E+01,1.78E+01,18.91428375,22,23.04547713,22.53538293,17.91569519
1.10E+01,1.42E+01,16.43344116,22,20.91771371,22.09010692,13.30678558
2.00E+01,1.88E+01,20.29113007,17,16.33903837,19.18795209,17.28863525
1.40E+01,1.79E+01,19.64408875,12,12.54697613,16.17703867,16.07740784
1.60E+01,1.73E+01,18.66623688,19,18.85685152,21.47519518,15.49694824
1.40E+01,1.65E+01,18.56877136,14,13.50330134,18.25934259,14.85547638
1.40E+01,1.65E+01,18.52896881,16,14.94121582,19.63702602,17.19945526
1.80E+01,1.92E+01,27.34480286,14,13.50330134,18.6607808,20.45470428
1.20E+01,2.03E+01,23.69552612,14,13.50330134,18.65461433,10.41748047
1.90E+01,2.79E+01,28.29462433,21,27.52303031,22.43702647,22.92887878
1.90E+01,3.85E+01,36.28163528,12,21.57780827,17.29330714,26.15776825
2.50E+01,5.06E+01,42.75832748,26,30.97075457,28.20219622,51.32065964
3.00E+01,3.23E+01,28.27909851,26,29.35889034,24.60614385,32.15090179
2.50E+01,3.18E+01,26.96302795,34,34.46885548,31.8051961,24.50359344
2.70E+01,4.71E+01,40.71032333,40,40.96045367,38.50706928,53.05051804
3.00E+01,5.19E+01,44.0418129,34,35.83756432,33.92119473,55.0621376
7.60E+01,9.06E+01,82.94503021,35,37.31980786,33.89041765,84.49194336
6.80E+01,7.79E+01,73.73295593,40,41.46931637,37.14449454,63.36323166
7.70E+01,8.69E+01,76.60282898,80,82.76590205,83.8087975,90.58354187
6.80E+01,6.94E+01,65.16984558,72,72.31456745,72.00912551,77.31104279
5.90E+01,6.11E+01,58.10078812,80,85.92626197,85.03149556,45.32389832
4.50E+01,4.82E+01,43.3964119,73,75.97759749,75.95198921,37.34485245
3.70E+01,3.72E+01,33.61823273,49,55.75257056,56.29013507,35.32833481
8.90E+01,7.26E+01,70.85058594,43,41.98475644,42.04296486,80.50113678
5.20E+01,4.31E+01,43.71274185,32,34.93160619,33.52595178,39.63282394
4.00E+01,3.07E+01,35.68033981,66,75.30106669,75.32693441,37.25423813
4.50E+01,3.15E+01,33.36772919,56,54.84083589,47.44774519,28.48265839
6.90E+01,5.57E+01,56.51562881,38,39.72914445,35.73691812,54.85693741
8.00E+01,7.36E+01,69.39846802,43,41.02227926,34.59062604,67.90859985
9.60E+01,8.82E+01,81.50957489,73,71.23162083,64.92346122,83.70387268
1.07E+02,9.32E+01,87.04495239,81.5,84.06637148,73.22631517,97.02459717
1.11E+02,1.00E+02,96.58068085,96,95.4711499,85.49030598,108.2852478
1.21E+02,1.12E+02,110.7485275,99,105.7532824,92.63458133,109.7460098
1.09E+02,1.05E+02,109.0800629,110,115.4650456,98.67815306,98.23451233
9.40E+01,8.75E+01,93.69210815,111.5,121.8372896,108.6927698,88.14047241
9.50E+01,9.31E+01,95.38977051,99,107.4153587,102.4392047,87.40927124
1.05E+02,1.07E+02,107.4309464,96,96.8679715,88.82352123,100.000618
9.40E+01,1.03E+02,102.6307983,96,96.98455425,91.14068417,92.48728943
1.21E+02,1.24E+02,125.335289,99,106.7379556,102.6342944,123.82724
2.03E+02,1.83E+02,179.2671051,96,98.12901518,94.64208453,165.0582886
8.40E+01,7.47E+01,72.6714859,111.5,107.6531584,107.3724384,86.75553894
9.60E+01,9.08E+01,97.13298035,205,207.6291126,195.7293103,78.66227722
8.30E+01,8.17E+01,83.20163727,81.5,90.38830819,87.82261741,85.66603851
8.50E+01,8.90E+01,92.78614044,83,82.28649118,85.93436369,93.66604614
9.30E+01,9.08E+01,99.57855988,89,91.58285118,92.0050178,94.2520752
8.90E+01,8.81E+01,87.54143524,89,90.98467329,93.26715482,81.39121246
7.50E+01,5.99E+01,53.40486908,99,94.42790314,95.38009165,68.631073
5.70E+01,4.43E+01,41.27201462,86,77.45331241,82.94464787,40.8571434
2.71E+02,1.57E+02,164.0817871,59,66.66846267,62.31696171,150.5137939
5.00E+01,3.35E+01,24.14319611,49,51.95010476,46.48607749,16.00122833
7.40E+01,4.46E+01,54.48908615,261.5,218.9429107,210.6605628,68.35111237
5.60E+01,4.87E+01,52.23908615,43,44.78034657,35.93855253,52.66275787
4.80E+01,3.53E+01,35.64540863,59,67.31907623,51.42160324,36.71030807
6.00E+01,3.90E+01,45.16827011,60,60.50151628,56.42266703,60.79302216
4.90E+01,3.23E+01,40.06489944,29,40.89878498,36.0501042,49.45701981
4.50E+01,3.83E+01,44.65867996,49,56.62394139,43.7544858,55.7484169
4.20E+01,4.71E+01,43.69430161,29,41.79638508,35.89180979,59.43866348
3.80E+01,4.40E+01,41.40253067,47,52.76690988,45.66312015,47.68079376
4.30E+01,5.51E+01,52.44224548,34.5,45.2667675,32.95239838,64.1315918
4.70E+01,5.77E+01,55.32144547,46,45.38874054,40.84082462,56.53334808
6.30E+01,6.90E+01,66.3441925,47,50.36916809,47.44918819,67.84651947
7.10E+01,7.32E+01,71.77365875,52,53.25272498,51.64984938,75.35888672
1.05E+02,1.07E+02,103.9145126,70,70.86366898,65.88463073,111.5755844
7.40E+01,8.22E+01,87.35344696,76,74.93752171,72.80458117,87.13730621
7.10E+01,8.28E+01,84.59579468,99,106.7379556,106.065736,86.05186462
8.00E+01,8.44E+01,86.70034027,80,81.35176932,79.95049319,87.959198
7.90E+01,8.79E+01,89.05860901,80,77.43784789,76.79391512,87.0326004
7.60E+01,8.87E+01,88.64526367,81.5,89.4071833,87.0283196,78.35948944
6.90E+01,7.73E+01,73.36482239,80,83.73422537,86.39962365,81.62051392
6.80E+01,6.93E+01,65.52896118,80,86.68485141,78.80508834,77.85987091
9.40E+01,8.11E+01,80.69044495,72,79.00991706,71.99603527,81.05389404
9.60E+01,7.38E+01,71.21178436,72,71.58993373,70.10739886,71.58863831
9.80E+01,8.02E+01,78.35414124,91,91.17616331,86.95026511,78.09415436
9.80E+01,8.62E+01,85.62734985,83,81.76871838,83.432826,95.28207397
1.09E+02,1.01E+02,106.618721,103,103.3956321,95.99381676,107.5418472
9.50E+01,8.30E+01,89.65799713,103,104.1746175,99.04128086,82.71890259
8.70E+01,7.55E+01,80.32029724,99,108.1176732,101.6931618,68.74475098
9.00E+01,8.26E+01,83.19850159,96,95.58773265,91.04679091,75.45948792
6.90E+01,6.88E+01,70.01163483,81.5,87.7368999,81.99911898,68.47743225
5.40E+01,5.78E+01,60.82661438,96,93.6730149,84.93101657,59.30425644
5.20E+01,5.65E+01,58.74165726,70,72.24402411,68.41714933,52.80331802
4.80E+01,5.43E+01,56.7269249,60,61.72647425,57.01728851,51.93690109
4.00E+01,5.08E+01,51.96799088,57,57.11487064,55.8733501,47.99401474
4.10E+01,5.16E+01,51.83339691,52,54.18334241,52.9163809,48.76395798
2.10E+01,3.97E+01,39.33418655,46,48.72693961,46.44837815,34.4172287
2.80E+01,4.11E+01,40.65270996,46,51.06792381,47.10146862,39.12083435
2.80E+01,3.77E+01,36.66711044,26,28.41516091,31.04139625,39.02040863
3.40E+01,4.25E+01,40.9940834,35,38.35566482,35.48549918,45.4718895
5.80E+01,6.42E+01,61.24986267,35,38.35566482,35.51324681,69.59353638
6.40E+01,7.16E+01,67.46122742,43,45.18560677,40.34013103,75.92953491
6.80E+01,8.08E+01,78.96177673,66,63.6703242,62.11441684,82.08786011
7.00E+01,8.13E+01,80.54689789,70,71.19652087,68.05059691,84.1524353
6.80E+01,7.66E+01,76.10190582,73,74.78725695,76.06281495,74.48836517
7.70E+01,7.73E+01,72.77735901,80,76.86826275,79.58512674,77.70300293
8.40E+01,7.87E+01,78.78372192,72,79.6390921,73.67838154,75.68045807
8.90E+01,8.34E+01,80.95280457,80,84.73592142,84.87640989,88.36225891
1.03E+02,9.27E+01,92.26672363,86,94.63008655,83.41857484,106.4329834
9.90E+01,8.96E+01,87.70944214,89,92.9716928,93.0645443,90.77657318
1.00E+02,9.64E+01,94.51139069,99,109.1628133,106.3860333,94.84073639
1.32E+02,1.23E+02,121.4133453,103,101.4526736,94.91847078,113.9078445
1.98E+02,1.72E+02,162.4547882,103,101.4526736,94.90444323,143.2420044
1.19E+02,7.77E+01,96.62585449,136,130.8463828,118.7072872,75.19705963
1.37E+02,1.23E+02,121.7940369,199,186.5404582,173.1284245,129.1018219
7.70E+01,7.95E+01,79.70246887,111.5,118.4000146,110.3914225,70.8331604
9.30E+01,9.46E+01,97.0131073,136,135.1504714,125.9975978,95.37288666
1.24E+02,1.17E+02,122.3941956,76,82.00187967,76.3587476,109.3245773
1.46E+02,1.39E+02,146.0751953,96,97.29893451,91.33854205,132.8581848
1.43E+02,1.35E+02,138.0516357,111.5,122.2682526,120.2508467,134.7071381
1.15E+02,1.11E+02,114.051239,144,144.5563221,143.0446177,102.375473
1.07E+02,1.05E+02,107.4224243,144,141.229129,139.3209337,92.57805634
9.90E+01,1.01E+02,100.0950699,114,115.8960086,115.0714508,94.24958038
1.00E+02,1.04E+02,102.3433533,104,101.7996398,102.0657417,98.89395142
1.03E+02,1.17E+02,116.9568024,103,101.2979048,101.4603127,111.4467316
7.50E+01,8.49E+01,73.25088501,103,102.4423657,103.0549331,70.9752655
6.10E+01,6.46E+01,57.64835358,104,91.0273178,100.5285812,58.25521851
8.30E+01,7.86E+01,79.04356384,67.5,63.79380102,64.32663293,71.52758789
9.00E+01,9.05E+01,85.0928421,49,52.34131544,49.49707879,84.63292694
7.00E+01,7.23E+01,70.9021225,86,75.12796805,72.71070557,63.80002213
7.50E+01,7.93E+01,80.13874817,96,97.57623236,97.56326514,58.49238586
8.30E+01,8.28E+01,83.66056824,80,72.23207596,71.63892323,71.36798096
7.90E+01,8.18E+01,81.0874939,76,78.99891237,81.69282996,79.47333527
9.50E+01,9.33E+01,93.59777832,86,83.47103593,78.50935241,96.85843658
1.34E+02,1.27E+02,122.9076996,80,84.64911163,86.6685476,126.7446976
1.61E+02,1.49E+02,140.087204,96,101.321517,101.8856621,150.3862915
1.51E+02,1.34E+02,133.1711121,136,131.4032658,136.5460584,131.1366577
1.47E+02,1.29E+02,134.634903,165,159.3251102,161.591406,133.0942078
1.43E+02,1.21E+02,127.5734253,144,144.725112,151.0750039,126.5001907
1.32E+02,1.16E+02,120.7665558,144,144.725112,146.1637326,121.7979507
1.19E+02,1.09E+02,110.4317017,144,141.229129,139.5069895,107.3378296
1.02E+02,9.92E+01,99.54558563,136,129.8896199,130.0650067,95.49781036
9.70E+01,1.05E+02,105.2468414,124,119.7968362,117.8648149,101.1262054
1.04E+02,1.20E+02,121.4237976,103,103.7812539,102.5108279,116.8368225
1.23E+02,1.35E+02,136.9011688,103,98.04083365,100.308547,139.4196014
1.41E+02,1.50E+02,151.1942139,104,108.8147909,109.0767817,150.9711304
1.67E+02,1.75E+02,176.3779297,124,127.6901095,127.6219635,180.5681915
1.74E+02,1.74E+02,174.0992584,144,145.9681335,145.1544106,177.271759
1.96E+02,1.96E+02,189.4798584,169,169.5945516,170.4531546,189.9311066
2.15E+02,2.07E+02,200.2326355,180,175.9936651,176.6424604,203.5570984
2.14E+02,2.07E+02,198.4654541,199,188.7243146,198.0274025,205.181488
1.97E+02,1.84E+02,178.4159241,218,207.4234088,216.1723767,172.382843
1.68E+02,1.41E+02,134.5509949,218,208.6032013,214.958429,133.6440582
1.22E+02,9.84E+01,91.46601868,199,180.6528721,185.8649531,102.7493286
6.60E+01,4.58E+01,46.14525986,169,147.4055448,164.1053181,45.1695137
3.60E+01,2.46E+01,28.02303314,111.5,108.0841214,113.2463108,31.6760788
2.00E+01,1.70E+01,18.71884918,67,62.04874481,54.40015355,31.43899536
1.70E+01,1.58E+01,17.68026733,32,33.76682608,28.5531168,23.68596649
1.70E+01,1.63E+01,16.93686676,19,19.62404784,17.67603124,26.78829956
1.70E+01,2.15E+01,24.62786102,17,17.10623468,16.14252457,31.79681396
1.80E+01,2.48E+01,26.4333725,17,16.98965193,16.70416724,30.1316452
1.40E+01,2.34E+01,25.67440033,23,27.12902462,25.17877021,25.87753296
1.60E+01,2.57E+01,25.99608612,17,25.51599562,22.2511239,29.97787476
1.80E+01,2.51E+01,28.57032776,14,19.48787995,19.15326857,23.8632431
2.00E+01,3.08E+01,30.41088867,18,21.1320532,16.38585728,27.18686676
2.20E+01,3.12E+01,29.50969696,23,26.60263932,24.70483475,28.64832306
2.20E+01,3.59E+01,34.6075592,26,29.02294487,27.29701913,27.58961487
4.50E+01,6.17E+01,58.84191513,26,30.75095517,29.33616385,57.31027603
1.21E+02,1.20E+02,116.602623,26,31.66507026,30.340165,117.4936066
1.22E+02,1.19E+02,121.0943298,47,54.32685893,51.55943288,107.3079071
1.14E+02,1.08E+02,110.5458374,124,123.7818985,123.5340135,108.099472
1.06E+02,1.04E+02,104.2258835,111.5,123.7818985,124.8167207,98.18526459
6.20E+01,6.69E+01,70.07387543,114,117.4096544,116.5442188,75.01216125
8.40E+01,9.00E+01,89.40070343,104,107.6978913,109.9442817,96.57285309
7.90E+01,8.39E+01,85.41704559,66,69.95331654,69.97298697,84.95796204
8.00E+01,9.24E+01,93.06568146,89,91.30914123,92.41828436,90.98383331
8.50E+01,9.63E+01,98.21231079,80,84.87776901,86.78361671,94.70100403
